L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,mean_test_auc
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.146,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.147,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.148,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.149,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.15,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.151,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.152,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.153,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.154,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.155,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.156,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.157,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.158,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.159,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.16,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.161,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.162,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.163,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.164,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.165,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.166,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.167,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.168,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.169,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.17,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.171,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.172,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.173,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.174,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.175,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.176,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.177,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.178,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.179,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.18,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.181,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.182,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.183,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.184,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.185,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.186,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.187,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.188,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.189,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.19,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1910000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1920000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1930000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1940000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1950000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1960000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1970000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1980000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1990000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2000000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2010000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2020000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2030000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2040000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2050000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2060000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2070000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2080000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2090000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2100000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2110000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2120000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2130000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2140000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2150000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2160000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2170000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2180000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2190000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2200000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2210000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2220000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2230000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2240000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2250000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2260000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2270000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2280000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2290000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2300000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2310000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2320000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.504849
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2330000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2340000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2350000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2360000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2370000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2380000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2390000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2400000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2410000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2420000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2430000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
